Monitoring EMU RSSI...
RSSI: -105 dBm, GDO2: 0, GDO0: 0
RSSI: -103 dBm, GDO2: 0, GDO0: 0
RSSI: -104 dBm, GDO2: 0, GDO0: 0
RSSI: -104 dBm, GDO2: 0, GDO0: 1
RSSI: -102 dBm, GDO2: 0, GDO0: 0
RSSI: -104 dBm, GDO2: 0, GDO0: 1
RSSI: -103 dBm, GDO2: 0, GDO0: 1
RSSI: -105 dBm, GDO2: 0, GDO0: 1
RSSI: -103 dBm, GDO2: 0, GDO0: 0
RSSI: -102 dBm, GDO2: 0, GDO0: 0
RSSI: -103 dBm, GDO2: 0, GDO0: 0
RSSI: -103 dBm, GDO2: 0, GDO0: 0
RSSI: -103 dBm, GDO2: 0, GDO0: 0
RSSI: -104 dBm, GDO2: 0, GDO0: 1
RSSI: -103 dBm, GDO2: 0, GDO0: 1
RSSI: -104 dBm, GDO2: 0, GDO0: 0
RSSI: -104 dBm, GDO2: 0, GDO0: 0
RSSI: -104 dBm, GDO2: 0, GDO0: 1
RSSI: -100 dBm, GDO2: 0, GDO0: 1
RSSI: -104 dBm, GDO2: 0, GDO0: 0
RSSI: -103 dBm, GDO2: 0, GDO0: 0
RSSI: -103 dBm, GDO2: 0, GDO0: 0
RSSI: -102 dBm, GDO2: 0, GDO0: 0
RSSI: -102 dBm, GDO2: 0, GDO0: 0
RSSI: -103 dBm, GDO2: 0, GDO0: 0
RSSI: -104 dBm, GDO2: 0, GDO0: 0
RSSI: -85 dBm, GDO2: 1, GDO0: 1
RSSI: -102 dBm, GDO2: 0, GDO0: 0
RSSI: -103 dBm, GDO2: 0, GDO0: 1
RSSI: -103 dBm, GDO2: 0, GDO0: 0
RSSI: -101 dBm, GDO2: 0, GDO0: 0
RSSI: -102 dBm, GDO2: 0, GDO0: 0
